image,similarity,label
f0000000_c00000.jpg,0.481090,customer
f0000000_c00001.jpg,0.415300,customer
f0000000_c00002.jpg,0.560429,customer
f0000000_c00003.jpg,0.528186,customer
f0000010_c00004.jpg,0.435340,customer
f0000010_c00005.jpg,0.647964,customer
f0000010_c00006.jpg,0.401816,customer
f0000020_c00007.jpg,0.429840,customer
f0000020_c00008.jpg,0.406952,customer
f0000020_c00009.jpg,0.623979,customer
f0000030_c00010.jpg,0.455676,customer
f0000030_c00011.jpg,0.393936,customer
f0000030_c00012.jpg,0.593917,customer
f0000030_c00013.jpg,0.591186,customer
f0000040_c00014.jpg,0.621026,customer
f0000040_c00015.jpg,0.396785,customer
f0000050_c00016.jpg,0.450549,customer
f0000050_c00017.jpg,0.609057,customer
f0000050_c00018.jpg,0.575562,customer
f0000050_c00019.jpg,0.506067,customer
f0000060_c00020.jpg,0.516490,customer
f0000060_c00021.jpg,0.469234,customer
f0000060_c00022.jpg,0.598476,customer
f0000070_c00023.jpg,0.619443,customer
f0000070_c00024.jpg,0.497388,customer
f0000070_c00025.jpg,0.540419,customer
f0000070_c00026.jpg,0.532999,customer
f0000070_c00027.jpg,0.455971,customer
f0000070_c00028.jpg,0.654304,customer
f0000080_c00029.jpg,0.592334,customer
f0000080_c00030.jpg,0.605352,customer
f0000080_c00031.jpg,0.576887,customer
f0000080_c00032.jpg,0.477691,customer
f0000090_c00033.jpg,0.596744,customer
f0000090_c00034.jpg,0.480332,customer
f0000090_c00035.jpg,0.510306,customer
f0000100_c00036.jpg,0.685344,customer
f0000100_c00037.jpg,0.529397,customer
f0000100_c00038.jpg,0.458627,customer
f0000100_c00039.jpg,0.481477,customer
f0000100_c00040.jpg,0.636408,customer
f0000110_c00041.jpg,0.680322,customer
f0000110_c00042.jpg,0.506838,customer
f0000110_c00043.jpg,0.479266,customer
f0000110_c00044.jpg,0.540513,customer
f0000110_c00045.jpg,0.632925,customer
f0000120_c00046.jpg,0.664357,customer
f0000120_c00047.jpg,0.481637,customer
f0000120_c00048.jpg,0.488221,customer
f0000120_c00049.jpg,0.488260,customer
f0000120_c00050.jpg,0.624327,customer
f0000130_c00051.jpg,0.625772,customer
f0000130_c00052.jpg,0.427299,customer
f0000130_c00053.jpg,0.526307,customer
f0000130_c00054.jpg,0.459569,customer
f0000130_c00055.jpg,0.641301,customer
f0000140_c00056.jpg,0.629636,customer
f0000140_c00057.jpg,0.459267,customer
f0000140_c00058.jpg,0.555748,customer
f0000140_c00059.jpg,0.604136,customer
f0000140_c00060.jpg,0.435600,customer
f0000140_c00061.jpg,0.583564,customer
f0000150_c00062.jpg,0.508040,customer
f0000150_c00063.jpg,0.472954,customer
f0000150_c00064.jpg,0.669256,customer
f0000150_c00065.jpg,0.455068,customer
f0000150_c00066.jpg,0.600631,customer
f0000150_c00067.jpg,0.401924,customer
f0000160_c00068.jpg,0.459722,customer
f0000160_c00069.jpg,0.485195,customer
f0000160_c00070.jpg,0.663432,customer
f0000160_c00071.jpg,0.542910,customer
f0000160_c00072.jpg,0.470980,customer
f0000170_c00073.jpg,0.479821,customer
f0000170_c00074.jpg,0.469566,customer
f0000170_c00075.jpg,0.403746,customer
f0000170_c00076.jpg,0.557774,customer
f0000170_c00077.jpg,0.655367,customer
f0000180_c00078.jpg,0.506987,customer
f0000180_c00079.jpg,0.493328,customer
f0000180_c00080.jpg,0.568304,customer
f0000180_c00081.jpg,0.457882,customer
f0000180_c00082.jpg,0.703794,customer
f0000190_c00083.jpg,0.519273,customer
f0000190_c00084.jpg,0.653389,customer
f0000190_c00085.jpg,0.483063,customer
f0000200_c00086.jpg,0.414859,customer
f0000200_c00087.jpg,0.469748,customer
f0000200_c00088.jpg,0.583385,customer
f0000210_c00089.jpg,0.509068,customer
f0000210_c00090.jpg,0.429444,customer
f0000210_c00091.jpg,0.425219,customer
f0000220_c00092.jpg,0.387900,customer
f0000220_c00093.jpg,0.433467,customer
f0000220_c00094.jpg,0.672499,customer
f0000230_c00095.jpg,0.499502,customer
f0000230_c00096.jpg,0.522746,customer
